,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19
Average daily number of taxi trips(One-Shift),17,17.2,16.7,16.7,16.4,16.7,15.6,16.5,16.6,16.4,15.7,16.1
Average engaged mileage per trip (km)(One-Shift),10.3,10.6,10.4,10.4,10.4,10.5,10.5,10.5,10.5,10.6,10.8,10.6
Average daily number of taxi trips(Two-Shift),25.8,25.9,25.7,25.2,24.9,25.5,24.4,25.2,25.2,25,25.7,24.2
Average engaged mileage per trip (km)(Two-Shift),10.1,10.3,10.2,10.2,10.1,10.3,10.4,10.1,10.2,10.2,10.3,10.3
Comfort,9105,9061,8920,8820,8743,8605,8397,8292,8163,8344,8268,8031
CityCab,3111,3083,3062,3074,2969,2862,2804,2797,2782,2830,2857,2669
Trans-Cab,3147,3101,3100,3057,3075,3098,2969,2998,2954,2910,2915,2920
SMRT,2300,2299,2298,2298,2298,2298,2297,2296,2294,2284,2279,2473
Premier,1861,1847,1799,1799,1799,1717,1697,1687,1659,1628,1599,1580
Prime,677,682,687,678,666,699,707,721,722,697,673,673
HDTT,100,111,123,129,129,129,129,129,129,129,129,129
Individual Yellow-Top Total,74,72,72,72,72,70,70,69,69,68,68,67
No. of TDVL issued,416,361,445,383,318,381,381,240,250,624,507,361
Total No. of valid TDVL holders,99449,99950,100559,100683,100470,100976,101072,101260,101659,101659,101625,101536
