,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18
Average daily number of taxi trips(One-Shift),17,17.4,17.2,17.1,16.9,17.2,17.3,17.1,17.1,17.2,17.3,17
Average engaged mileage per trip (km)(One-Shift),10.6,10.7,10.7,10.4,10.2,10.3,10.2,10.2,10.3,10.2,10.3,10.5
Average daily number of taxi trips(Two-Shift),25,25.6,25,25.3,25,25.5,25.5,25.5,25.9,25.6,25.8,26
Average engaged mileage per trip (km)(Two-Shift),10.3,10.5,10.4,10.2,10,10.1,10,9.9,10,10,10.1,10.3
Comfort,9669,9481,9416,9369,9332,9310,9379,9408,9460,9353,9285,9222
CityCab,3362,3294,3271,3258,3244,3225,3194,3269,3231,3203,3182,3138
Trans-Cab,3685,3660,3632,3603,3586,3560,3551,3530,3449,3374,3275,3198
SMRT,3369,3207,2654,2451,2323,2320,2315,2313,2310,2308,2308,2306
Premier,2052,2049,2028,2019,2016,2006,2002,1994,1992,1984,1980,1861
Prime,671,666,663,654,655,662,654,677,664,675,681,682
HDTT,,,,,,,,95,95,100,100,100
Individual Yellow-Top Total,83,83,82,82,81,81,81,80,78,76,74,74
No. of TDVL issued,202,353,403,410,307,344,624,624,851,893,412,471
Total No. of valid TDVL holders,95704,95542,95507,95895,96090,96336,97769,97769,98545,98914,99308,99488
